3  Stimmabgabe nach Geschlecht und Altersgruppen in den Ländern 2013;;;;;;;;;;;;;;
SPD;60,15406087;34,64688072;3,849539475;31,49692534;6,36646027;28,86443639;6,763959284;32,63028033;15,9776386;33,92595517;10,71836576;39,81912702;16,47809749;36,94664219
FDP;5,38486677;3,101516904;0,286725366;2,345986447;0,546998723;2,479998173;0,600029713;2,89462679;0,986419661;2,094504078;0,873037941;3,243368387;2,091655367;4,689840102
DIE LINKE;16,18194214;9,320298765;1,477066205;12,08535314;2,410956036;10,93086019;1,994572065;9,622093048;6,181347545;13,12510096;2,350206573;8,731104739;1,767793721;3,963688291
GRÜNE;23,37255066;13,46186713;2,429829209;19,88085839;4,149157741;18,81156791;3,393475238;16,37059652;7,594299873;16,12527881;3,168346023;11,7705232;2,637442581;5,913586042
Sonstige;14,2415308;8,202681775;1,610429739;13,17653334;3,174897735;14,39444053;2,372414151;11,44485582;3,992781249;8,478031146;1,6265139;6,042559571;1,464494026;3,2836398
dar. PIRATEN;3,623772026;2,087180737;0,801361201;6,556735967;1,060889687;4,809891459;0,731648488;3,529574062;0,680548925;1,445036585;0,163543105;0,607568711;0,185780621;0,416551129
dar. NPD;1,355792286;0,780894472;0,070564356;0,577357438;0,389164088;1,764403073;0,237270809;1,144627382;0,447677781;0,950572029;0,136067962;0,505497536;0,075047289;0,168268536
dar. AfD;5,077396063;2,924423276;0,289983429;2,372643917;0,960786997;4,356043076;0,54523805;2,630304187;1,615375628;3,429991284;0,807518336;2,999960621;0,858493623;1,92488585
Zusammen;173,620423;100;12,2219532;100;22,05641636;100;20,72908727;100;47,09561902;100;26,91763119;100;44,59971601;100
;Brandenburg;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
CDU;482,601;34,76045873;20,33871541;28,36531736;55,11818701;33,75464952;69,90114359;37,83897948;154,6076432;34,42092908;74,59521852;34,00721115;108,0400923;35,99936045
SPD;321,174;23,13330385;14,00003469;19,52509876;32,01702715;19,60738531;33,20337276;17,97369365;96,72433794;21,53413316;55,67732633;25,38273404;89,55190113;29,83902641
FDP;35,365;2,547246323;1,907799976;2,660706475;4,803394573;2,941622523;5,967849007;3,230523916;11,4368477;2,546231967;5,080325577;2,316069421;6,168783169;2,055461488
DIE LINKE;311,312;22,42297038;11,07528001;15,44610001;27,38818683;16,77266067;33,44546976;18,10474592;104,3386574;23,22934011;58,28124507;26,56983445;76,7831609;25,5844347
GRÜNE;65,182;4,694885052;6,665960869;9,2966587;9,71925;5,952116627;11,69018504;6,328146427;23,12511044;5,148437489;7,031030064;3,205376011;6,950463585;2,315920309
Sonstige;172,728;12,44113567;17,71496897;24,70611869;34,24460564;20,97156536;30,52514268;16,5239106;58,93495144;13,12092819;18,68603321;8,518774923;12,62229806;4,205796644
dar. PIRATEN;30,785;2,217361178;6,625881981;9,240762821;9,144315289;5,600023775;5,181233539;2,804712191;7,70671827;1,715778066;1,343105213;0,612308181;0,783745708;0,261146984
dar. NPD;35,578;2,562588143;4,367259682;6,090783237;9,039065151;5,535568071;7,592428457;4,109943412;10,30102535;2,293359213;2,457669252;1,120426736;1,820552113;0,606614733
dar. AfD;83,075;5,983669965;5,430233156;7,573255425;12,12538441;7,425645206;14,18505367;7,678672013;31,19525285;6,945126151;12,08362927;5,508805258;8,055446644;2,684104772
Zusammen;1388,362;100;71,70275992;100;163,2906512;100;184,7331628;100;449,1675481;100;219,3511788;100;300,1166991;100
;Männer;;;;;;;;;;;;;
CDU;211,2452703;31,43989986;9,067662137;24,96916881;25,1011766;30,54105374;31,5816259;34,21361038;72,20160502;32,71077233;31,66154937;29,66562012;41,63165132;31,15313357
SPD;157,5767206;23,45234196;7,407659642;20,39810276;16,02178032;19,49398873;17,30120097;18,7430676;47,86395977;21,68465771;27,32029905;25,59804019;41,66182086;31,17570957
FDP;19,36340581;2,881880094;1,161862573;3,199362998;2,518801175;3,064670762;3,109728768;3,368890784;6,833701165;3,095992713;2,863634019;2,683111871;2,875678108;2,151881595
DIE LINKE;152,0811277;22,63442594;5,166800744;14,22756142;13,22250703;16,08806249;16,41893929;17,78727902;49,39281521;22,37730218;30,59470594;28,66603001;37,28535951;27,90078578
GRÜNE;27,83759822;4,143104833;2,410641978;6,638064537;4,259097878;5,18212111;4,607084378;4,991034673;10,49955754;4,756800575;3,112144759;2,91595661;2,949071694;2,206802312
Sonstige;103,7977322;15,44834732;11,1008074;30,56773948;21,06494922;25,63010317;19,2886211;20,89611755;33,93566266;15,3744745;11,17575561;10,47124121;7,231936171;5,411687175
dar. PIRATEN;18,58928464;2,766666665;4,348010633;11,97289994;5,957683113;7,248820363;3,225161104;3,493943149;4,165248504;1,887056326;0,577070356;0,540692111;0,316110927;0,236547089
dar. NPD;24,66672158;3,671179266;2,711591827;7,466775121;6,131118851;7,459842751;5,334914854;5,779521891;7,440698333;3,370991394;1,777602154;1,665542947;1,270795565;0,950941477
dar. AfD;49,53564514;7,372452507;3,444248671;9,484255719;7,067526214;8,599186457;8,84929585;9,586788259;18,10300469;8,201524951;7,293759236;6,833964069;4,777810478;3,575254963
Zusammen;671,9018549;100;36,31543448;100;82,18831222;100;92,3072004;100;220,7273014;100;106,7280887;100;133,6355177;100
;Frauen;;;;;;;;;;;;;
CDU;271,3557297;37,87450447;11,27105327;31,85053725;30,01701041;37,01127586;38,31951769;41,4596902;82,40603818;36,07334493;42,93366915;38,1215514;66,40844097;39,88945801
SPD;163,5972794;22,83410745;6,592375048;18,62919835;15,99524683;19,72230028;15,9021718;17,20530831;48,86037817;21,38869085;28,35702728;25,17869762;47,89008026;28,76606223
FDP;16,00159419;2,23342419;0,745937403;2,107922521;2,284593399;2,816926648;2,858120239;3,092334842;4,603146533;2,015033077;2,216691558;1,96823898;3,293105061;1,978064447
DIE LINKE;159,2308723;22,22466572;5,908479262;16,69659741;14,1656798;17,46642573;17,02653047;18,42180489;54,94584222;24,05261025;27,68653913;24,58335952;39,49780139;23,72508475
GRÜNE;37,34440178;5,2123488;4,255318891;12,02498024;5,460152122;6,732422506;7,083100666;7,663540069;12,6255529;5,526851366;3,918885305;3,479646407;4,001391891;2,403510028
Sonstige;68,93026783;9,620949372;6,614161569;18,69076424;13,17965642;16,25064897;11,23652157;12,15732169;24,99928879;10,94346952;7,510277597;6,668506073;5,390361891;3,237820541
dar. PIRATEN;12,19571536;1,702218253;2,277871347;6,436969505;3,186632176;3,929149537;1,956072435;2,116366855;3,541469766;1,550282761;0,766034856;0,680175669;0,467634782;0,280893479
dar. NPD;10,91127842;1,522942831;1,655667855;4,678702994;2,9079463;3,585527047;2,257513603;2,442510246;2,860327012;1,25211168;0,680067098;0,603843402;0,549756547;0,330221436
dar. AfD;33,53935486;4,681258976;1,985984484;5,612135021;5,057858198;6,23639005;5,335757824;5,773007586;13,09224815;5,731147788;4,789870032;4,253008892;3,277636166;1,968772769
Zusammen;716,4601451;100;35,38732544;100;81,10233897;100;92,42596244;100;228,4402468;100;112,62309;100;166,4811815;100
;Sachsen-Anhalt;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
CDU;485,781;41,20926524;18,10246851;30,81847163;49,88313371;39,11070398;66,33646767;43,9740836;144,3136999;39,43451089;84,46068701;40,59710752;122,6845432;45,83338856
SPD;214,731;18,21583539;10,82916024;18,43605845;21,46661796;16,83082994;20,14581456;13,3545509;59,84967766;16,35425304;40,76648138;19,59492974;61,6732482;23,04034294
FDP;30,998;2,629589885;1,833953772;3,122206912;4,526493159;3,548981807;4,94009691;3,274763372;9,321954247;2,547275182;4,556575273;2,190176079;5,818926638;2,173877154
DIE LINKE;282,319;23,94938985;9,763807305;16,62235282;21,12220042;16,56079052;31,10520996;20,6194745;99,85023213;27,28462418;58,5453046;28,1405481;61,93224559;23,13710108
GRÜNE;46,858;3,975008801;5,369439161;9,141179191;7,595715626;5,955395406;8,205395373;5,439311963;13,84205507;3,782417552;5,263858894;2,530140981;6,581535875;2,458778288
Sonstige;118,128;10,02091083;12,84019197;21,859731;22,94927004;17,99329834;20,12056887;13,33781567;38,78026065;10,59691916;14,45316353;6,947097573;8,98454494;3,356511982
dar. PIRATEN;22,753;1,930158676;4,829858007;8,222571517;7,273989504;5,703147118;3,825638623;2,535995035;5,153727162;1,408284245;0,949766007;0,456517157;0,720020698;0,268990596
dar. NPD;25,9;2,197121686;3,243405121;5,521721453;6,228147609;4,883158282;5,108011418;3,386072986;7,890333085;2,156076839;2,095715269;1,0073323;1,334387498;0,498510237
dar. AfD;49,661;4,212789963;3,678506988;6,262458802;6,550553971;5,13593991;8,100701589;5,369911023;18,00215347;4,91918728;8,469030034;4,07074741;4,860053951;1,815654485
Zusammen;1178,815;100;58,73902096;100;127,5434309;100;150,8535533;100;365,9578797;100;208,0460707;100;267,6750445;100
;Männer;;;;;;;;;;;;;
CDU;211,384291;37,17562261;8,408847005;27,7706418;23,54334488;36,2254704;31,47942444;41,75625498;64,73919419;36,22946468;36,15186832;35,83733408;47,06161212;39,75440092
SPD;111,2475099;19,56481926;5,770653246;19,05787371;11,24038069;17,2952518;10,33291865;13,7062222;31,4241119;17,58561821;21,83538103;21,64540537;30,64406443;25,88599006
FDP;16,30546969;2,867601869;1,241891387;4,101409008;2,420289889;3,724030726;2,566422864;3,404261972;5,241435018;2,933221323;2,368537141;2,347930018;2,466893395;2,083861233
DIE LINKE;139,5386046;24,54030279;4,776893009;15,77593035;10,51019731;16,17173956;14,92685815;19,7999076;48,26359828;27,00936196;30,2613133;29,998029;30,79974457;26,01749789
GRÜNE;19,25914259;3,387056878;1,879826004;6,208220291;3,158702878;4,860205642;3,337806594;4,427473047;6,273889785;3,511005523;2,063362728;2,045410731;2,545554597;2,150308786
Sonstige;70,87493712;12,4645966;8,201517256;27,08592484;14,11822075;21,72330188;12,7450936;16,9058802;22,74987895;12,73132831;8,197209462;8,125890795;4,863017092;4,107941111
dar. PIRATEN;13,68139153;2,406111854;3,170904921;10,4720736;4,662531069;7,174103005;2,434906749;3,229810865;2,638588818;1,476611836;0,531863277;0,527235875;0,242596694;0,204928939
dar. NPD;18,24482558;3,208671502;2,155217279;7,117713882;4,322612926;6,651080694;3,67175243;4,870439452;5,754881662;3,22055726;1,534147669;1,520800033;0,806213618;0,681033606
dar. AfD;29,7145959;5,225831106;2,378815215;7,856157357;3,668604456;5,644776594;5,228155532;6,93494876;10,83914206;6,065820236;4,695049784;4,654201165;2,904828856;2,453798877
Zusammen;568,6099549;100;30,27962791;100;64,9911364;100;75,3885243;100;178,6921081;100;100,877672;100;118,3808862;100
;Frauen;;;;;;;;;;;;;
CDU;274,396709;44,96795155;9,693621506;34,06123767;26,33978883;42,10842949;34,85704323;46,18966384;79,5745057;42,49281919;48,30881868;45,07748485;75,62293109;50,65364377
SPD;103,4834901;16,95880604;5,05850699;17,7744725;10,22623727;16,34830081;9,812895904;13,00323611;28,42556576;15,17926396;18,93110035;17,66481592;31,02918377;20,78392359
FDP;14,69253031;2,407802168;0,592062386;2,080376011;2,106203271;3,367107932;2,373674046;3,145396055;4,080519229;2,178998968;2,188038132;2,041682211;3,352033243;2,245254123
DIE LINKE;142,7803954;23,39875695;4,986914296;17,52291163;10,61200311;16,96501014;16,17835181;21,43821054;51,58663384;27,54728396;28,2839913;26,39210032;31,13250102;20,8531274
GRÜNE;27,59885741;4,522882535;3,489613157;12,26172726;4,437012748;7,093285357;4,867588779;6,450125099;7,568165286;4,041403415;3,200496167;2,98641783;4,035981278;2,703375219
Sonstige;47,25306288;7,743800754;4,638674717;16,29927493;8,831049288;14,11786627;7,375475267;9,773368356;16,0303817;8,560230505;6,255954065;5,837498872;4,121527847;2,7606759
dar. PIRATEN;9,071608471;1,486649208;1,658953086;5,829193485;2,611458435;4,174840356;1,390731874;1,842882579;2,515138344;1,343084923;0,41790273;0,389949589;0,477424003;0,319787465
dar. NPD;7,655174417;1,25452493;1,088187843;3,823650914;1,905534684;3,046306612;1,436258988;1,903211337;2,135451423;1,140331949;0,5615676;0,524004843;0,52817388;0,353780675
dar. AfD;19,9464041;3,268803538;1,299691773;4,566828852;2,881949515;4,607264269;2,872546058;3,806459885;7,163011411;3,825051077;3,77398025;3,521542074;1,955225095;1,309646082
Zusammen;610,2050451;100;28,45939305;100;62,55229452;100;75,46502904;100;187,2657715;100;107,1683987;100;149,2941582;100
;Berlin;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
CDU;508,643;28,45203474;24,36123636;20,50640702;66,28685779;21,71258118;68,89726098;25,28958041;126,2250054;25,83280941;81,41763634;31,25574248;141,4550031;41,35075636
SPD;439,387;24,57805217;28,19993622;23,73768562;71,48520485;23,41532492;59,14818608;21,7110635;115,5917028;23,65663141;71,51456113;27,45401128;93,44740895;27,31696268
FDP;63,616;3,558497103;4,145779242;3,489766911;9,26763292;3,035658029;9,397370111;3,449419378;18,72182376;3,831549093;8,867303768;3,404104756;13,2160902;3,863386333
DIE LINKE;330,507;18,48761636;19,52962491;16,43933138;52,46630973;17,18559375;43,91896691;16,12099276;97,98473018;20,05324422;54,45451325;20,90476117;62,15285502;18,16879933
GRÜNE;220,737;12,34739649;18,58651616;15,64545657;49,7175225;16,28521519;49,38517559;18,12743136;69,51218436;14,22614326;20,49458054;7,8677466;13,04102086;3,812209285
Sonstige;224,831;12,57640314;23,97507753;20,18135249;56,06886123;18,36562693;41,68642933;15,30151259;60,58738739;12,39962261;23,73997405;9,113633712;18,77327048;5,487886018
dar. PIRATEN;64,018;3,580983834;9,913376592;8,344721604;23,82461701;7,80386864;12,57089515;4,61430047;12,77224243;2,613926641;3,143771878;1,206875176;1,793096948;0,524166084
dar. NPD;27,014;1,511085902;2,672986277;2,2500231;7,274335301;2,382743744;5,2796801;1,93797101;7,592812766;1,553920988;2,151843263;0,826079728;2,042342292;0,597026593
dar. AfD;88,06;4,925824555;5,399756402;4,545319497;12,61536947;4,132225343;14,55260948;5,3417129;28,93532616;5,921812112;14,70416329;5,644840133;11,8527752;3,464856022
Zusammen;1787,721;100;118,7981704;100;305,292389;100;272,433389;100;488,6228339;100;260,4885691;100;342,0856486;100
;Männer;;;;;;;;;;;;;
CDU;224,6203243;26,17143779;10,67880151;18,88030614;30,74998099;20,64453119;33,14876078;23,71938562;60,21853101;24,53836737;35,0266744;28,49252136;54,79757561;37,87960713
SPD;213,8848024;24,92059798;14,3801281;25,4243157;35,33400472;23,72209475;30,5470544;21,85775111;59,00221602;24,04273283;33,7790954;27,47767562;40,84230372;28,23282603
FDP;36,25043054;4,223686751;2,714861753;4,799922629;5,57922435;3,745708693;6,231664924;4,459028329;10,7684754;4,388031409;4,807055268;3,910309136;6,149148841;4,250687
DIE LINKE;161,0128417;18,76026839;9,066735804;16,03014604;25,10179955;16,85252696;22,27069174;15,93565228;49,02137127;19,97565197;27,51305955;22,38055569;28,03918374;19,38248641
GRÜNE;93,54315102;10,89909724;6,80729382;12,03541345;19,41064275;13,03167048;22,54639079;16,13292699;31,26587006;12,7404869;8,554854512;6,95896425;4,958099091;3,427356842
Sonstige;128,9535791;15,02491185;12,91271055;22,82989605;32,77411408;22,00346792;25,00931341;17,89525566;35,12914982;14,31472952;13,25213141;10,77997394;9,876159817;6,827036592
dar. PIRATEN;36,7049679;4,276646768;5,686128729;10,05317414;13,98599472;9,389739278;7,397566286;5,293281657;7,148709432;2,913017892;1,737989823;1,413771447;0,748578907;0,517465866
dar. NPD;17,37334448;2,024239817;1,416499061;2,504394888;4,733658534;3,178023469;3,509831692;2,511437816;5,081038642;2,070465532;1,364779789;1,110182966;1,267536761;0,876202898
dar. AfD;52,47434433;6,114001672;2,989892175;5,286181183;7,35774991;4,939752566;9,44329219;6,757087858;17,63088806;7,184386619;8,336522589;6,781361692;6,715999406;4,642530552
Zusammen;858,265129;100;56,56053154;100;148,9497664;100;139,753876;100;245,4056136;100;122,9328705;100;144,6624708;100
;Frauen;;;;;;;;;;;;;
CDU;284,0226757;30,55795165;13,68243485;21,98418046;35,5368768;22,73012709;35,7485002;26,94349671;66,00647442;27,13889844;46,39096194;33,72521999;86,6574275;43,89425217
SPD;225,5021976;24,26174331;13,81980812;22,20490425;36,15120012;23,12306109;28,60113168;21,55655462;56,58948677;23,26705596;37,73546573;27,43286257;52,60510523;26,64586084
FDP;27,36556946;2,944256991;1,430917489;2,299119175;3,68840857;2,359182998;3,165705187;2,385978903;7,95334836;3,270059722;4,060248501;2,95171232;7,066941354;3,579590519
DIE LINKE;169,4941583;18,23584784;10,46288911;16,81119223;27,36451018;17,50291106;21,64827517;16,31621543;48,9633589;20,13153462;26,9414537;19,58585067;34,11367128;17,2794662
GRÜNE;127,193849;13,6847647;11,77922234;18,92620374;30,30687975;19,38491197;26,8387848;20,22828107;38,2463143;15,7251671;11,93972602;8,679921044;8,082921767;4,094211155
Sonstige;95,87742091;10,3154355;11,06236697;17,77440014;23,29474715;14,8998058;16,67711592;12,56947327;25,45823757;10,46728416;10,48784264;7,624433412;8,897110662;4,506619112
dar. PIRATEN;27,3130321;2,938604505;4,227247864;6,792108344;9,838622282;6,292987875;5,173328863;3,899116561;5,623532996;2,312144259;1,405782055;1,021972968;1,044518041;0,52907569
dar. NPD;9,640655521;1,037236497;1,256487217;2,018854249;2,540676767;1,625069815;1,769848409;1,333927423;2,511774124;1,032728736;0,787063474;0,572178022;0,77480553;0,392459254
dar. AfD;35,58565567;3,828654676;2,409864227;3,872036713;5,25761956;3,362883054;5,109317294;3,850871306;11,3044381;4,647877351;6,367640699;4,629136246;5,13677579;2,601911208
Zusammen;929,455871;100;62,23763888;100;156,3426226;100;132,679513;100;243,2172203;100;137,5556985;100;197,4231778;100
;Nordrhein-Westfalen;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
CDU;3776,563;39,76100837;218,9933542;28,82202863;389,6880645;33,91217331;498,6537505;38,01370765;1050,292666;36,39651409;576,7596899;41,85606217;1042,175475;51,75153633
SPD;3028,282;31,8828379;232,0651581;30,54242745;318,6352853;27,72888369;358,5540654;27,33353435;957,4294166;33,17846006;482,9686498;35,04954696;678,6294248;33,6988503
FDP;498,027;5,243406695;40,44284121;5,322740187;60,46839866;5,262195591;73,94214817;5,636807506;137,4243212;4,762259519;75,24425993;5,460555717;110,5050308;5,487372571
DIE LINKE;582,925;6,137243257;51,26948479;6,747650238;85,05223894;7,401577133;88,77524469;6,767574083;207,5158308;7,191188806;89,80821345;6,517477265;60,50398734;3,00445978
GRÜNE;760,642;8,008311507;88,14162221;11,60044499;121,4275474;10,56709816;140,2248386;10,68971408;283,525339;9,825198571;72,41777971;5,25543505;54,90487314;2,726423337
Sonstige;851,718;8,967192267;128,8999628;16,9647085;173,8381403;15,12807212;151,6234715;11,55866232;249,5081912;8,646378954;80,76115773;5,860922839;67,0870764;3,331357678
dar. PIRATEN;209,507;2,20576476;51,98351845;6,84162523;60,70742271;5,282996395;39,27421497;2,993978336;44,02061596;1,52547668;8,39571245;0,609285754;5,12551546;0,254518846
dar. NPD;.;.;.;.;.;.;.;.;.;.;.;.;.;.
dar. AfD;372,258;3,919265601;34,32506003;4,517570254;52,61810062;4,579032077;59,76654707;4,556163561;128,700898;4,459960733;53,20178879;3,860910217;43,64560553;2,167319414
Zusammen;9498,157;100;759,8124233;100;1149,109675;100;1311,773519;100;2885,695764;100;1377,95975;100;2013,805868;100
;Männer;;;;;;;;;;;;;
CDU;1678,296745;36,66010915;104,896533;27,01566859;179,9839887;31,75118422;228,9373148;35,48455699;491,251449;34,16927628;255,1107212;38,14328776;418,1167379;47,99551747
SPD;1505,572815;32,88718989;121,5392801;31,30193934;158,5424722;27,96866142;180,8894716;28,03729383;492,7712547;34,27498724;245,2826812;36,67383264;306,547655;35,18852989
FDP;265,8280984;5,806653166;23,31551944;6,004815681;32,31236068;5,700261028;40,30549472;6,247223725;76,48389447;5,319881147;39,91654372;5,968185917;53,49428542;6,14059586
DIE LINKE;315,1021583;6,882977969;25,88856421;6,667492729;43,56173101;7,684775497;46,92810478;7,273707259;113,1842954;7,872598586;50,83456862;7,600611883;34,70489424;3,983766271
GRÜNE;310,6087767;6,78482616;32,90145622;8,473634085;47,75837104;8,425109632;56,93838561;8,825269009;121,2157576;8,43123154;31,06136074;4,644189062;20,73344548;2,379987105
Sonstige;502,5830808;10,97824366;79,73899862;20,53644958;104,6986382;18,4700082;91,17573321;14,13194919;142,7926577;9,932025202;46,61617987;6,969892738;37,5608733;4,311603404
dar. PIRATEN;127,5572627;2,786314869;32,90688104;8,475031227;38,50292786;6,792346165;24,83208046;3,848893637;24,2636666;1,687673247;4,744363434;0,709361092;2,30734332;0,264859372
dar. NPD;.;.;.;.;.;.;.;.;.;.;.;.;.;.
dar. AfD;228,6367128;4,994257943;22,12226512;5,697497963;32,97565388;5,817273351;37,21459117;5,768143487;78,21118543;5,44002386;31,85171521;4,762360175;26,26130197;3,014528391
Zusammen;4577,991674;100;388,2803516;100;566,8575618;100;645,1745047;100;1437,699309;100;668,8220554;100;871,1578914;100
;Frauen;;;;;;;;;;;;;
CDU;2098,266255;42,64625508;114,0968212;30,7098175;209,7040758;36,01602657;269,7164358;40,46157135;559,0412167;38,60791333;321,6489687;45,35775927;624,0587374;54,61513522
SPD;1522,709185;30,94833373;110,525878;29,74867755;160,0928131;27,4954456;177,6645939;26,65239373;464,6581619;32,08973061;237,6859685;33,51760458;372,0817698;32,56311458
FDP;232,1989016;4,719331286;17,12732177;4,609917439;28,15603798;4,835712457;33,63665345;5,046010079;60,94042675;4,208603309;35,32771621;4,981785126;57,0107454;4,989353377
DIE LINKE;267,8228417;5,44337078;25,38092058;6,831421165;41,49050793;7,125866439;41,84713991;6,27770804;94,33153533;6,51462474;38,97364484;5,495920624;25,7990931;2,257833876
GRÜNE;450,0332233;9,146709378;55,240166;14,86820929;73,66917632;12,65245323;83,28645296;12,49423584;162,3095814;11,20925267;41,35641897;5,831930703;34,17142766;2,990547252
Sonstige;349,1349192;7,095999748;49,16096417;13,23195705;69,13950217;11,8744957;60,44773829;9,068080961;106,7155336;7,36987533;34,14497786;4,814999696;29,5262031;2,584015699
dar. PIRATEN;81,94973729;1,665589098;19,07663741;5,134586988;22,20449485;3,81355333;14,44213451;2,166540034;19,75694936;1,364433544;3,651349016;0,514899862;2,818172139;0,246635202
dar. NPD;.;.;.;.;.;.;.;.;.;.;.;.;.;.
dar. AfD;143,6212872;2,919033766;12,20279491;3,284452631;19,64244674;3,373529488;22,5519559;3,383136701;50,48971254;3,486867136;21,35007357;3,010709165;17,38430356;1,52140501
Zusammen;4920,165326;100;371,5320718;100;582,2521133;100;666,5990142;100;1447,996456;100;709,1376951;100;1142,647976;100
;Sachsen;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
CDU;994,601;42,6382075;39,5672212;30,48102487;116,2250408;36,96656808;136,1032345;42,78103022;275,2512414;41,39079756;159,7973604;42,8316423;267,6569017;50,29166886
SPD;340,819;14,61079492;19,88963827;15,32219196;43,35651673;13,7899855;35,77218811;11,24419317;88,42721924;13,29720844;59,62632373;15,98207482;93,74711392;17,6147104
FDP;71,259;3,054849159;4,324707837;3,331584153;11,54500811;3,672008419;12,02002202;3,778227072;21,30276147;3,203394409;9,406769547;2,52136448;12,65973102;2,378713181
DIE LINKE;467,045;20,02206073;17,89675355;13,78695227;44,9308066;14,29070457;52,02686656;16,35349048;142,2311791;21,38795783;92,70529467;24,84847066;117,2540995;22,03157963
GRÜNE;113,916;4,883540279;12,17975082;9,382799106;25,39929555;8,07850685;22,80756603;7,169052043;31,49292115;4,735735677;10,7096349;2,870580903;11,32683156;2,128266667
Sonstige;345,012;14,79054741;35,95128142;27,69544764;72,94915027;23,20222658;59,40933965;18,67400701;106,3005668;15,98490608;40,83711327;10,94586684;29,56454856;5,555061262
dar. PIRATEN;58,561;2,510490206;12,87304235;9,916883526;20,34292372;6,470275852;10,49234984;3,298037237;11,13795038;1,674864924;2,426707473;0,650447956;1,288026234;0,242015014
dar. NPD;76,436;3,276785393;7,681461646;5,917494743;17,06647449;5,428167519;14,31138775;4,49846702;23,73420834;3,569022279;8,013290489;2,147860209;5,629177279;1,057700055
dar. AfD;157,781;6,76401795;12,22227012;9,415554298;27,03155422;8,597663488;26,22805493;8,244206794;52,83203212;7,944596128;22,88019464;6,132744059;16,58689396;3,116611502
Zusammen;2332,652;100;129,8093531;100;314,405818;100;318,1392169;100;665,0058892;100;373,0824965;100;532,2092263;100
;Männer;;;;;;;;;;;;;
CDU;435,2801801;38,41942716;18,50305991;28,07909486;56,15519296;34,399049;64,62450593;39,47788276;128,0396805;38,81298241;67,30610521;37,64051648;100,6516356;43,49180525
SPD;178,0622094;15,71642449;10,9184095;16,56910034;23,78350383;14,56908739;18,9062138;11,54944678;44,97896199;13,63458308;31,69704232;17,72637177;47,77807792;20,64501831
FDP;37,74431328;3,331451697;2,170961939;3,294517043;5,858400427;3,588686864;6,977041922;4,262142342;11,85487663;3,593597831;4,987934449;2,789471003;5,895097913;2,547285484
DIE LINKE;228,9633295;20,20914427;8,445301553;12,81606527;22,19658135;13,59698452;25,83430951;15,78168881;69,41553869;21,04210251;46,71100839;26,12283797;56,36058999;24,35354168
